name,description,price,category,image
Taco Mexicana-veg(single),Truly irresistible! Crispy taco with a decicious veg patty & creamy sauce,0.98,side orders,https://www.dominos.co.in//files/items/taco.png
Veg Parcel,,0.52,side orders,https://www.dominos.co.in//files/items/150135_AHA_Menu_main_1.jpg
Margherita,"A hugely popular margherita, with a deliciously tangy single cheese topping",2.83,veg pizzas,https://www.dominos.co.in//files/items/Margherit.jpg
Indi Tandoori Paneer,It is hot. It is spicy. It is oh-so-Indian. Tandoori paneer with capsicum I red paprika I mint mayo,6.46,veg pizzas,https://www.dominos.co.in//files/items/IndianTandooriPaneer.jpg
Paneer Paratha Pizza,An epic fusion of paratha and pizza with melting cheese & soft paneer fillings to satisfy all your indulgent cravings,2.48,paratha pizza,https://www.dominos.co.in//files/items/paneerparatha.jpg
Red Velvet Lava Cake,A truly indulgent experience with sweet and rich red velvet cake on a creamy cheese flavoured base to give a burst of flavour in,1.67,side orders,https://www.dominos.co.in//files/items/CAKE03.jpg
Indi Chicken Tikka,The wholesome flavour of tandoori masala with Chicken tikka I onion I red paprika I mint mayo,3.41,non veg pizzas,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(18).png
Tomato,Juicy tomato in a flavourful combination with cheese I tangy sauce,0.68,pizza mania,https://www.dominos.co.in//files/items/pizza_mania_tomato.png
Cheesy,Orange Cheddar Cheese I Mozzarella,1.09,pizza mania,https://www.dominos.co.in//files/items/PrimeCheesyL.jpg
Crinkle Fries,Crispy wavy masala coated fries served with a spicy tomato chilli sauce,0.86,side orders,https://www.dominos.co.in//files/items/crinkle_fries.png
Creamy Tomato Pasta Veg,"",1.67,pasta,https://www.dominos.co.in//files/items/CreamyTomatoVeg_N_(3).jpg
Capsicum,Capsicum,0.79,pizza mania,https://www.dominos.co.in//files/items/CapsicumVeg.jpg
Butterscotch Mousse Cake,"A Creamy & Chocolaty indulgence with layers of rich, fluffy Butterscotch Cream and delicious Dark Chocolate Cake, topped with crunchy Dark Chocolate morsels - for a perfect dessert treat!",1.25,side orders,https://www.dominos.co.in//files/items/170046_BMC_image_for_Website_272X272.jpg
Creamy Tomato Pasta Pizza - Non Veg,"Loaded with a delicious creamy tomato pasta topping , green capsicum, crunchy red and yellow bell peppers and black olives",5.87,non veg pizzas,https://www.dominos.co.in//files/items/CreamyTomatoPPVG.jpg
5 Pepper,"Dominos introduces ""5 Peppers"" an exotic new Pizza. Topped with red bell pepper, yellow bell pepper, capsicum, red paprika, jalapeno & sprinkled with exotic herb",5.20,veg pizzas,https://www.dominos.co.in//files/items/5_Pepper.jpg
Moroccan Spice Pasta Non Veg,,1.91,pasta,https://www.dominos.co.in//files/items/MoroccanPastaNonVeg_N.jpg
7up (500ml),,0.69,beverages,https://www.dominos.co.in//files/items/7up.png
Achari Do Pyaza,Tangy & spicy achari flavours on a super cheesy onion pizza- as desi as it gets!,3.85,veg pizzas,https://www.dominos.co.in//files/items/updated_achari_do_pyaza.webp
Peppy Paneer,Chunky paneer with crisp capsicum and spicy red pepper - quite a mouthful!,5.39,veg pizzas,https://www.dominos.co.in//files/items/Peppy_Paneer.jpg
Cheese N Corn,Cheese I Golden Corn | Cheese n Corn Pizza,3.51,veg pizzas,https://www.dominos.co.in//files/items/Corn_&_Cheese.jpg
Pepper Barbecue Chicken,Pepper Barbecue Chicken,5.23,pizza mania,https://www.dominos.co.in//files/items/PepperBarbecueChicken.jpg
Cheese Jalapeno Dip,A soft creamy cheese dip spiced with jalapeno.,0.29,side orders,https://www.dominos.co.in//files/items/_thumb_17451.png
Indo Fusion Chicken Pizza,"Relish the fusion of 5 of your favorite chicken toppings - Peri Peri Chicken, Chicken Pepperoni, Chicken Tikka, Pepper Barbecue Chicken and Chicken Meatballs",8.14,chicken lovers pizza,https://www.dominos.co.in//files/items/ind_fus.jpg
Chicken Dominator,"Treat your taste buds with Double Pepper Barbecue Chicken, Peri-Peri Chicken, Chicken Tikka & Grilled Chicken Rashers",6.98,non veg pizzas,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(11).png
Moroccan Spice Pasta Veg,"Instant Fusilli Pasta, Harissa Sauce, Onion, Mushroom, Olives, Parsley sprinkle",1.67,pasta,https://www.dominos.co.in//files/items/MoroccanPastaVeg_N_(1).jpg
Chicken Sausage,Chicken Sausage & Cheese,4.30,pizza mania,https://www.dominos.co.in//files/items/MicrosoftTeams-image_(17).png
Keema Do Pyaza,Delicious minced chicken keema topped with crunchy onions on your favourite cheesy pizza,5.23,non veg pizzas,https://www.dominos.co.in//files/items/updated_keema_do_pyaza.webp
Onion,Onion,0.68,pizza mania,https://www.dominos.co.in//files/items/onion_veg.jpg
